House_plot,Winter,Summer,Sum_Wint_TRT
01_01,W3,S4,W3_S4
01_02,W2,S2,W2_S2
01_03,W3,S1,W3_S1
01_04,W1,S1,W1_S1
01_05,W1,S3,W1_S3
01_06,W3,S2,W3_S2
01_07,W2,S1,W2_S1
01_08,W1,S4,W1_S4
01_09,W1,S2,W1_S2
01_10,W2,S3,W2_S3
01_11,W3,S3,W3_S3
01_12,W2,S4,W2_S4
02_01,W1,S3,W1_S3
02_02,W2,S2,W2_S2
02_03,W2,S3,W2_S3
02_04,W1,S1,W1_S1
02_05,W2,S1,W2_S1
02_06,W3,S4,W3_S4
02_07,W1,S4,W1_S4
02_08,W1,S2,W1_S2
02_09,W3,S1,W3_S1
02_10,W3,S3,W3_S3
02_11,W3,S2,W3_S2
02_12,W2,S4,W2_S4
03_01,W1,S2,W1_S2
03_02,W3,S3,W3_S3
03_03,W1,S4,W1_S4
03_04,W3,S1,W3_S1
03_05,W3,S2,W3_S2
03_06,W2,S4,W2_S4
03_07,W3,S4,W3_S4
03_08,W1,S3,W1_S3
03_09,W2,S2,W2_S2
03_10,W2,S3,W2_S3
03_11,W1,S1,W1_S1
03_12,W2,S1,W2_S1
04_01,W3,S1,W3_S1
04_02,W2,S3,W2_S3
04_03,W2,S2,W2_S2
04_04,W1,S4,W1_S4
04_05,W3,S3,W3_S3
04_06,W1,S2,W1_S2
04_07,W2,S4,W2_S4
04_08,W2,S1,W2_S1
04_09,W3,S2,W3_S2
04_10,W1,S1,W1_S1
04_11,W3,S4,W3_S4
04_12,W1,S3,W1_S3
05_01,W2,S3,W2_S3
05_02,W3,S4,W3_S4
05_03,W2,S4,W2_S4
05_04,W3,S2,W3_S2
05_05,W3,S3,W3_S3
05_06,W1,S2,W1_S2
05_07,W1,S4,W1_S4
05_08,W1,S1,W1_S1
05_09,W2,S2,W2_S2
05_10,W2,S1,W2_S1
05_11,W1,S3,W1_S3
05_12,W3,S1,W3_S1
